case,face_id,prompt,run,kind,warp_type,warp_components,mode,stage,input_ssim,input_psnr,output_ssim_vs_clean,output_psnr_vs_clean,output_l2_vs_clean,arcface_clean_vs_stage_edit,arcface_original_vs_stage_input,stage_path,edit_path
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,combined,bspline+polar,bspline+polar,combined,learned_delta_only,0.7994680404663086,28.465587125028744,0.45030415058135986,9.759691536219243,0.32509884248232346,0.3102734684944153,-0.20074255764484406,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,combined,bspline+polar,bspline+polar,combined,learned_geometry_on_original,0.9964425563812256,47.61350489762435,0.9710829854011536,36.072170022329814,0.01571779061044239,0.990163266658783,0.9978479146957397,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,combined,bspline+polar,bspline+polar,combined,learned_geometry_on_reconstruction,0.829692542552948,30.65043955898738,0.9463350176811218,33.02648636119818,0.022319048808956327,0.9889983534812927,0.9346138834953308,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_rolling,combined,bspline+rolling,bspline+rolling,combined,learned_combined,0.8031507134437561,28.52990267901124,0.453453928232193,10.055640803375574,0.3142085219871124,0.3324725031852722,-0.21074256300926208,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_rolling,combined,bspline+rolling,bspline+rolling,combined,learned_delta_only,0.7998495101928711,28.467833015840593,0.4146738350391388,8.949484501021065,0.35688292930465665,0.3027111887931824,-0.2117016613483429,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_rolling,combined,bspline+rolling,bspline+rolling,combined,learned_geometry_on_original,0.9973911643028259,49.88264685461569,0.9796924591064453,38.513729429687025,0.011866250946310879,0.9927281141281128,0.999457836151123,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_rolling,combined,bspline+rolling,bspline+rolling,combined,learned_geometry_on_reconstruction,0.8265709280967712,30.580426395156795,0.9099014401435852,21.561633485585226,0.08354458878504815,0.8987828493118286,0.9418821334838867,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_tps,combined,bspline+tps,bspline+tps,combined,learned_combined,0.8046643137931824,28.552932280696247,0.5328368544578552,11.520398241363788,0.2654483853141046,0.3223753273487091,-0.19818361103534698,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_tps,combined,bspline+tps,bspline+tps,combined,learned_delta_only,0.7997279167175293,28.473899846944253,0.4177766740322113,8.97615686082559,0.3557887052174576,0.28658270835876465,-0.1968582272529602,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_tps,combined,bspline+tps,bspline+tps,combined,learned_geometry_on_original,0.995995819568634,47.42286302310518,0.9694893956184387,35.8778406867135,0.016073407884762678,0.9911823272705078,0.9982261061668396,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_geometry_on_original_edit.png
