case,run,comparison,num_seeds,seeds,mean_edit_ssim,min_edit_ssim,max_edit_ssim,range_edit_ssim,mean_edit_l2,max_edit_l2
image2_black_jacket,combined_bspline_tps,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9734246929486593,0.9323580265045166,0.9939993023872375,0.06164127588272095,0.04158161231204308,0.11217606269027208
image2_black_jacket,single_bspline,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9642805457115173,0.9550188183784485,0.9694180488586426,0.014399230480194092,0.01586172283570002,0.02078355808746299
image2_black_jacket,single_bspline,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9802603125572205,0.9657270908355713,0.9885502457618713,0.02282315492630005,0.028305207985197464,0.060778070703161824
image2_black_jacket,single_diffgeom,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.7670883138974508,0.7489812970161438,0.7829813361167908,0.03400003910064697,0.06103920845958067,0.06582438218640513
image2_black_jacket,single_diffgeom,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.6448254684607188,0.4275873005390167,0.7629337310791016,0.33534643054008484,0.1546105790958417,0.31537092624063806
image2_black_jacket,single_rolling,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9649495085080465,0.9622513651847839,0.9665620923042297,0.004310727119445801,0.016538492580242304,0.017637737837209455
image2_black_jacket,single_rolling,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.8377098441123962,0.5503451228141785,0.9835690855979919,0.4332239627838135,0.08306869667593128,0.22038414784365348
image4_red_scarf,combined_all,geometry_increment_after_delta,3,"1234,24001,34007",0.8915520310401917,0.8815168738365173,0.8993988633155823,0.01788198947906494,0.03654500844563534,0.037271545265278754
image4_red_scarf,combined_all,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.8686030308405558,0.8660584092140198,0.8706083297729492,0.004549920558929443,0.032439708518653194,0.03288720226090992
image4_red_scarf,combined_all,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.8994693954785665,0.8940241932868958,0.9035842418670654,0.009560048580169678,0.032725754371688315,0.03288450302474119
image4_red_scarf,combined_bspline,geometry_increment_after_delta,3,"1234,24001,34007",0.9973527590433756,0.9972983002662659,0.997424840927124,0.0001265406608581543,0.0032448653212487906,0.003290427930863933
image4_red_scarf,combined_bspline,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9815902709960938,0.981188952922821,0.9821246266365051,0.000935673713684082,0.008517476549995325,0.008681342089098628
image4_red_scarf,combined_bspline,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9970336159070333,0.9969572424888611,0.9971011281013489,0.00014388561248779297,0.003471513403357053,0.003493523024893696
image4_red_scarf,combined_bspline_tps,geometry_increment_after_delta,3,"1234,24001,34007",0.9939582943916321,0.9938367009162903,0.9941104054450989,0.00027370452880859375,0.005949596155612155,0.006001532105907777
image4_red_scarf,combined_bspline_tps,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9750465750694275,0.9743444323539734,0.9756307005882263,0.0012862682342529297,0.010979786120840681,0.011150938235057958
image4_red_scarf,combined_bspline_tps,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9934439857800802,0.9931842684745789,0.9937521815299988,0.0005679130554199219,0.005964526461664596,0.006311795029373743
image4_red_scarf,single_bspline,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9657405813535055,0.9654855132102966,0.9661076664924622,0.0006221532821655273,0.01403294737454567,0.014174792416698993
image4_red_scarf,single_bspline,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9890194733937582,0.9885900020599365,0.9892494082450867,0.0006594061851501465,0.008774291578455167,0.008964386796680978
image4_red_scarf,single_diffgeom,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.7572129368782043,0.7544489502906799,0.7594793438911438,0.005030393600463867,0.07598694240105645,0.07641717038485614
image4_red_scarf,single_diffgeom,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9004765947659811,0.8983100056648254,0.9017011523246765,0.0033911466598510742,0.04501706000762974,0.045376624268268786
image4_red_scarf,single_rolling,learned_geometry_vs_neutral_original,3,"1234,24001,34007",0.9577062129974365,0.9572577476501465,0.9579870700836182,0.0007293224334716797,0.018129575907481873,0.01867490023681441
image4_red_scarf,single_rolling,learned_geometry_vs_vae_reconstruction,3,"1234,24001,34007",0.9886951049168905,0.9877219200134277,0.9895221590995789,0.001800239086151123,0.009184579935448023,0.009661524966062422
