case,face_id,prompt,run,warp_type,warp_components,mode,comparison,edit_ssim,edit_psnr,edit_l2,arcface_edit_cosine_similarity,left_edit_path,right_edit_path
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,bspline+lens,bspline+lens,combined,geometry_increment_after_delta,0.9091532230377197,24.05572136589076,0.06269226081646481,0.9315903782844543,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_lens,bspline+lens,bspline+lens,combined,order_effect,0.5753602385520935,12.688490338787213,0.23204674620853072,0.14839738607406616,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_lens/combined/geometry_then_vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,bspline+polar,bspline+polar,combined,reconstruction_effect,0.8892146944999695,18.648265747324512,0.11683869904800422,0.8325568437576294,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,bspline+polar,bspline+polar,combined,delta_increment_after_reconstruction,0.48981598019599915,11.064536814059934,0.2797519737392203,0.29182228446006775,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_delta_only_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,bspline+polar,bspline+polar,combined,geometry_on_original_effect,0.9710829854011536,36.072170022329814,0.01571779061044239,0.990163266658783,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,bspline+polar,bspline+polar,combined,geometry_on_reconstruction_effect,0.9335975646972656,19.096348091672468,0.11096412564162554,0.842271089553833,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,bspline+polar,bspline+polar,combined,geometry_increment_after_delta,0.7518026232719421,14.986079486566894,0.1781131669347044,0.5413936376571655,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_combined_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_polar,bspline+polar,bspline+polar,combined,order_effect,0.48971936106681824,11.061242828268792,0.27985808535460766,0.3522684574127197,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_polar/combined/geometry_then_vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_rolling,bspline+rolling,bspline+rolling,combined,reconstruction_effect,0.8892146944999695,18.648265747324512,0.11683869904800422,0.8325568437576294,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/vae_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,combined_bspline_rolling,bspline+rolling,bspline+rolling,combined,delta_increment_after_reconstruction,0.4486859142780304,10.080832901196985,0.31329852838980315,0.23860716819763184,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_rolling/combined/learned_delta_only_edit.png
