control,seed,stage,stage_path,edit_path,input_ssim,input_psnr,input_mse,input_l2,output_ssim,output_psnr,output_mse,output_l2,arcface_original_vs_stage,arcface_clean_edit_vs_stage_edit
image2_black_jacket__bspline_iter100_scale2,34007.0,geometry_only_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_34007/geometry_only_original_edit.png,0.9289403557777405,33.707450872511544,0.000425848294980824,0.02063609204720758,0.9017770290374756,30.61618093493099,0.0008677245932631195,0.029457165397626422,0.7993297576904297,0.9236992597579956
image2_black_jacket__bspline_iter100_scale2,34007.0,geometry_only_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_34007/geometry_only_reconstruction_edit.png,0.8297955393791199,30.391493293015476,0.0009137989836744964,0.030229108218313296,0.9354364275932312,31.07786211021564,0.0007802140899002552,0.02793231264861997,0.8380527496337891,0.9334103465080261
image2_black_jacket__bspline_iter100_scale2,34007.0,combined,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_combined.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_34007/combined_edit.png,0.7867795825004578,26.18589755555785,0.0024066350888460875,0.04905746720781748,0.7698879241943359,23.532942401568377,0.004433081950992346,0.06658139342933839,-0.9706169962882996,0.14012092351913452
image2_black_jacket__bspline_iter100_scale2,34007.0,joint_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_delta_only.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__bspline_iter100_scale2/seed_34007/joint_delta_only_edit.png,0.7846014499664307,26.160584171646697,0.0024207034148275852,0.04920064445540917,0.7734439373016357,24.10185349350619,0.0038887914270162582,0.062360175007902745,-0.9683811664581299,0.15985000133514404
image2_black_jacket__rolling_iter100_scale1,1234.0,geometry_only_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__rolling_iter100_scale1/seed_1234/geometry_only_original_edit.png,0.9902956485748291,42.180537767111375,6.052659227862023e-05,0.007779883821665991,0.9623746275901794,35.654930827374145,0.00027196118026040494,0.016491245564250294,0.9950198531150818,0.9905117154121399
image2_black_jacket__rolling_iter100_scale1,1234.0,geometry_only_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__rolling_iter100_scale1/seed_1234/geometry_only_reconstruction_edit.png,0.8192480206489563,29.342621145840436,0.0011634236434474587,0.0341089965177438,0.9306314587593079,30.532603601839327,0.0008845851407386363,0.029741976073197226,0.9162376523017883,0.9824801683425903
image2_black_jacket__rolling_iter100_scale1,24001.0,geometry_only_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__rolling_iter100_scale1/seed_24001/geometry_only_original_edit.png,0.9902956485748291,42.180537767111375,6.052659227862023e-05,0.007779883821665991,0.9588673114776611,34.599595558602644,0.00034676914219744503,0.018621738431130564,0.9950198531150818,0.9892768859863281
image2_black_jacket__rolling_iter100_scale1,24001.0,geometry_only_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__rolling_iter100_scale1/seed_24001/geometry_only_reconstruction_edit.png,0.8192480206489563,29.342621145840436,0.0011634236434474587,0.0341089965177438,0.4258406162261963,8.912493958700383,0.12845487892627716,0.35840602523712844,0.9162376523017883,0.37465718388557434
image2_black_jacket__rolling_iter100_scale1,34007.0,geometry_only_original,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__rolling_iter100_scale1/seed_34007/geometry_only_original_edit.png,0.9902956485748291,42.180537767111375,6.052659227862023e-05,0.007779883821665991,0.9648046493530273,36.33476408736986,0.00023255388077814132,0.015249717399943559,0.9950198531150818,0.9935687780380249
image2_black_jacket__rolling_iter100_scale1,34007.0,geometry_only_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/seed_replays_100iter/image2_black_jacket__rolling_iter100_scale1/seed_34007/geometry_only_reconstruction_edit.png,0.8192480206489563,29.342621145840436,0.0011634236434474587,0.0341089965177438,0.9272088408470154,29.921016857105236,0.0010183529229834676,0.031911642436318874,0.9162376523017883,0.9455596804618835
